Constellation	XBayerFlamsteed	RA	Dec	Distance	Mag
Crv	X4Gam	12.26346329	-17.5419837	50.55611729	2.58
Lep	X11Alp	5.54550386	-17.82229227	393.7007874	2.58
Sgr	X38Zet	19.04353428	-29.88011429	27.31494127	2.6
Lib	X27Bet	15.28346439	-9.38286694	49.06771344	2.61
Ser	X24Alp	15.7377766	6.42551971	22.45172878	2.63
Ari	X6Bet	1.91065251	20.80829949	18.26817684	2.64
Col	XAlp	5.66081665	-34.07404941	82.23684211	2.65
Crv	X9Bet	12.57312057	-23.39662306	42.84490146	2.65
Aur	X37The	5.99534393	37.21276409	53.10674456	2.65
Cas	X37Del	1.43016751	60.23540347	30.47851265	2.66
Lup	XBet	14.97554279	-43.13386699	160.5136437	2.68
Boo	X8Eta	13.91142116	18.39858742	11.34172621	2.68
Mus	XAlp	12.61974547	-69.13553358	93.72071228	2.69
Vel	XMu	10.77947836	-49.42012517	35.4861604	2.69
Aur	X3Iot	4.94989339	33.16613537	156.9858713	2.69
Sco	X34Ups	17.512733	-37.29574016	158.9825119	2.7
Pup	XPi	7.28571226	-37.09748689	335.5704698	2.71
Sgr	X19Del	18.34989489	-29.82803914	93.72071228	2.72
Aql	X50Gam	19.77099171	10.61326869	141.2429379	2.72
Oph	X1Del	16.23910173	-3.69397562	52.19206681	2.73
Dra	X14Eta	16.39986301	61.51407536	26.89618074	2.73
Car	XThe	10.71595186	-64.39447937	134.589502	2.74
Vir	X29Gam	12.69444503	-1.44952231	11.83011948	2.74
Cen	XIot	13.34335154	-36.71208109	17.97268152	2.75
Lib	X9Alp2	14.84799369	-16.04161047	23.66863905	2.75
Ori	X44Iot	5.59055031	-5.90989984	406.504065	2.75
Oph	X60Bet	17.72454914	4.56691684	25.13826043	2.76
Her	X27Bet	16.50368379	21.4896485	45.31037608	2.78
Her	X64Alp1	17.24412845	14.39025314	117.2332943	2.78
Eri	X67Bet	5.13084276	-5.08626282	27.24053391	2.78
Cru	XDel	12.25243248	-58.74890179	111.6071429	2.79
Dra	X23Bet	17.5072158	52.30135901	110.864745	2.79
Lup	XGam	15.58568343	-41.16669497	173.9130435	2.8
Lep	X9Bet	5.47075731	-20.75923214	48.80429478	2.81
Her	X40Zet	16.68818808	31.60188695	10.79563856	2.81
Hyi	XBet	0.42755612	-77.25503511	7.474958888	2.82
Sgr	X22Lam	18.46618597	-25.42124732	23.69668246	2.82
Sco	X23Tau	16.59804428	-28.21596156	131.7523057	2.82
TrA	XBet	15.91911334	-63.42974973	12.30920729	2.83
Pup	X15Rho	8.12575059	-24.30443677	19.23446817	2.83
Peg	X88Gam	0.22059721	15.18361593	102.145046	2.83
Ara	XAlp	17.53070044	-49.87598159	74.29420505	2.84
Ara	XBet	17.42166588	-55.52982397	184.8428835	2.84
Per	X44Zet	3.90219957	31.88365776	301.2048193	2.84
Tau	X25Eta	3.79140671	24.10524193	112.7395716	2.85
Vir	X47Eps	13.03632237	10.95910186	31.34796238	2.85
Cap	X49Del	21.78396813	-16.12656595	11.82312603	2.85
Gem	X66Alp	7.576977829	31.89188279	15.80527896	2.85
Hyi	XAlp	1.97940884	-61.56992444	21.86270223	2.86
Cyg	X18Del	19.74956725	45.13069195	52.4383849	2.86
Tuc	XAlp	22.30838283	-60.25949486	60.90133983	2.87
TrA	XGam	15.31519133	-68.67946723	56.02240896	2.87
Gem	X13Mu	6.3826642	22.51385027	71.0732054	2.87
Eri	XThe1	2.97103212	-40.30473491	49.45598417	2.88
Sgr	X41Pi	19.1627316	-21.02352534	134.9527665	2.88
CMi	X3Bet	7.45252008	8.28940893	52.19206681	2.89
Sco	X6Pi	15.98086685	-26.1140428	140.8450704	2.89
CVn	X12Alp2	12.9338447	38.31824617	33.78378378	2.89
Sco	X20Sig	16.35314514	-25.59275259	225.2252252	2.9
Aqr	X22Bet	21.52597796	-5.57115593	187.6172608	2.9
Per	X45Eps	3.96422809	40.01027315	165.0165017	2.9
Per	X23Gam	3.07994173	53.50645031	78.6163522	2.91
Car	XUps	9.78503822	-65.07201888	497.5124378	2.92
Peg	X44Eta	22.71670238	30.22130866	65.87615283	2.93
Pup	XTau	6.83226023	-50.61439973	56.02240896	2.94
Crv	X7Del	12.4977731	-16.51509397	26.94691458	2.94
Aqr	X34Alp	22.09639591	-0.31982656	232.5581395	2.95
Leo	X17Eps	9.76419511	23.77427792	76.86395081	2.97
Eri	X34Gam	3.96714724	-13.50824471	67.79661017	2.97
Tau	X123Zet	5.62741229	21.14259299	127.8772379	2.97
Sgr	X10Gam2	18.09681239	-30.42365007	29.46375958	2.98
Sco	XIot1	17.79307809	-40.12698197	549.4505495	2.99
Aql	X17Zet	19.09017012	13.86370983	25.52322614	2.99
Hya	X46Gam	13.31534816	-23.17141246	40.50222762	2.99
Gru	XGam	21.8987928	-37.3648229	62.22775358	3
Sco	XMu 1	16.86451079	-38.04732717	251.8891688	3
Tri	X4Bet	2.15903358	34.98739204	38.1097561	3
UMi	X13Gam	15.34548589	71.83397308	147.275405	3
UMa	X52Psi	11.16107206	44.49855337	45.02476362	3
Per	X39Del	3.71541169	47.7876533	161.8122977	3.01
CMa	X1Zet	6.33855198	-30.06337656	103.0927835	3.02
Crv	X2Eps	12.16875718	-22.61979211	93.02325581	3.02
CMa	X24Omi2	7.05040932	-23.83330131	787.4015748	3.02
Aur	X7Eps	5.032815	43.82331397	625	3.03
Mus	XBet	12.77135267	-68.10809405	95.41984733	3.04
Boo	X27Gam	14.53465494	38.30788348	26.1164795	3.04
Cyg	X6Bet1	19.51202368	27.9596948	118.2033097	3.05
Cap	X9Bet	20.35017956	-14.78140119	105.4852321	3.05
Gem	X27Eps	6.73220272	25.13115531	277.0083102	3.06
UMa	X34Mu	10.37216756	41.4994335	76.27765065	3.06
Dra	X57Del	19.20920972	67.66131695	30.7314075	3.07
Sgr	XEta	18.29381366	-36.76128103	45.72473708	3.1
Ind	XAlp	20.62610824	-47.29166239	31.04625893	3.11
Cen	XLam	11.59636896	-63.01982488	125.6281407	3.11
Hya	XNu	10.82706446	-16.19413208	42.4808836	3.11
Hya	X16Zet	8.92324579	5.9455277	46.21072089	3.11
Col	XBet	5.84932022	-35.76929225	26.35740643	3.12
Ara	XZet	16.97700854	-55.99005508	176.056338	3.12
UMa	X9Iot	8.98689965	48.04234956	14.63700234	3.12
Her	X65Del	17.25053449	24.83958739	24.06738869	3.12
Cen	XKap	14.9860275	-42.10414199	165.2892562	3.13
Lyn	X40Alp	9.35096077	34.39252592	68.0735194	3.14
Her	X67Pi	17.25079285	36.80915527	112.4859393	3.16
Pup	XNu	6.62935324	-43.19592394	129.7016861	3.17
Dra	X22Zet	17.1464514	65.71463676	104.1666667	3.17
UMa	X25The	9.54786812	51.67860208	13.48617667	3.17
Sgr	X27Phi	18.76093138	-26.9907794	70.72135785	3.17
Cir	XAlp	14.70852362	-64.97456957	16.40150894	3.18
Aur	X10Eta	5.10857473	41.23464074	67.24949563	3.18
Ori	X1Pi3	4.83059395	6.96124744	8.025682183	3.19
Lep	X2Eps	5.09101447	-22.37085673	69.49270327	3.19
Oph	X27Kap	16.96118627	9.37505626	26.3227165	3.19
Cep	X35Gam	23.65582834	77.63196681	13.79310345	3.21
Cyg	X64Zet	21.21560598	30.22708128	46.25346901	3.21
Lup	XDel	15.35620455	-40.64745946	156.4945227	3.22
Oph	X2Eps	16.30534466	-4.69260809	32.95978906	3.23
Cep	X8Bet	21.47765973	70.56069481	182.4817518	3.23
Ser	X58Eta	18.35525571	-2.897122	18.93580761	3.23
Pic	XAlp	6.80320475	-61.94197988	30.33980583	3.24
Aql	X65The	20.18840688	-0.82147569	88.02816901	3.24
Pup	XSig	7.48718842	-43.30189129	56.36978579	3.25
Lyr	X14Gam	18.98239571	32.68955312	194.5525292	3.25
Lib	X20Sig	15.06785052	-25.28185602	89.52551477	3.25
Hya	X49Pi	14.10618582	-26.68201883	31.08486167	3.25
Hyi	XGam	3.78728653	-74.23924251	65.65988181	3.26
And	X31Del	0.65544371	30.86122579	31.06554831	3.27
Oph	X42The	17.36682891	-24.99948797	172.7115717	3.27
Aqr	X76Del	22.91084423	-15.82075994	48.92367906	3.27
Car	XOme	10.22896636	-70.03792169	113.507378	3.29
Lep	X5Mu	5.2155203	-16.20542901	56.52911249	3.29
Dra	X12Iot	15.41549558	58.96602354	31.3283208	3.29
Dor	XAlp	4.56658845	-55.04500559	53.87931034	3.3
Ara	XGam	17.42323884	-56.37768824	348.4320557	3.31
Gem	X7Eta	6.2479713	22.50682376	107.0663812	3.31
Phe	XBet	1.10141847	-46.71849042	60.75334143	3.32
Sco	XEta	17.20254886	-43.23849039	21.94907814	3.32
Per	X25Rho	3.08624916	38.84053298	99.70089731	3.32
Sgr	X40Tau	19.11567841	-27.66981416	36.9139904	3.32
Oph	X64Nu	17.9837771	-9.77334973	46.83840749	3.32
UMa	X69Del	12.25706919	57.03259792	24.96878901	3.32
Ret	XAlp	4.24039753	-62.47397888	50.05005005	3.33
Leo	X70The	11.23734469	15.4297631	54.46623094	3.33
Pup	X7Xi	7.82157187	-24.85978401	413.2231405	3.34
UMa	X1Omi	8.50445282	60.7184311	56.30630631	3.35
Ori	X28Eta	5.40794918	-2.39713844	276.2430939	3.35
Gem	X31Xi	6.75484265	12.89605513	17.53770607	3.35
Cas	X45Eps	1.90657873	63.67014686	135.501355	3.35
Aql	X30Del	19.42493129	3.11457923	15.37279016	3.36
Lup	XEps	15.37802431	-44.68957314	154.5595054	3.37
Hya	X11Eps	8.77962395	6.41890691	41.44218815	3.38
Vir	X79Zet	13.5782652	-0.59593821	22.44668911	3.38
Cep	X21Zet	22.18090608	58.20124992	222.7171492	3.39
Ori	X39Lam	5.58563269	9.93416294	323.6245955	3.39
Vir	X43Del	12.92680091	3.39759862	62.07324643	3.39
Tau	X78The2	4.47768747	15.8709468	45.68296026	3.4
Phe	XGam	1.47276157	-43.31772906	71.73601148	3.41
Cen	XNu	13.82508261	-41.68765971	145.5604076	3.41
Lup	XZet	15.20477865	-52.09907465	35.63791875	3.41
Cep	X3Eta	20.75479684	61.83679404	14.34102969	3.41
Tau	X35Lam	4.01133906	12.49037571	113.507378	3.41
Peg	X42Zet	22.69102078	10.83139111	63.93861893	3.41
Pav	XBet	20.74932102	-66.20323826	42.17629692	3.42
Lup	XEta	16.00203902	-38.39664079	151.2859304	3.42
Tri	X2Alp	1.88469439	29.57939727	19.65795164	3.42
Her	X86Mu	17.77436636	27.72249917	8.399832003	3.42
Aql	X16Lam	19.10415275	-4.88233456	38.38771593	3.43
Leo	X36Zet	10.27816787	23.4173284	79.61783439	3.43
UMa	X33Lam	10.2849797	42.91446855	41.20313144	3.45
Car	XChi	7.94631715	-52.98240062	118.623962	3.46
Cas	X24Eta	0.8180835	57.8165477	5.952735282	3.46
Cet	X31Eta	1.14312879	-10.181928	36.06202669	3.46
Boo	X49Del	15.25836216	33.31510222	35.79098067	3.46
Cen	XMu	13.82694662	-42.47368506	161.5508885	3.47
Cet	X86Gam	2.72170126	3.23617162	25.13826043	3.47
Leo	X30Eta	10.12220929	16.76266572	653.5947712	3.48
Her	X44Eta	16.71492737	38.92246103	34.3524562	3.48
Tel	XAlp	18.44956396	-45.96832919	76.45259939	3.49
Gru	XEps	22.80922142	-51.31670354	39.74562798	3.49
CMa	X22Sig	7.02865325	-27.93484165	373.1343284	3.49
Boo	X42Bet	15.03244253	40.39063671	67.06908115	3.49
Cet	X52Tau	1.73475762	-15.93955597	3.647372068	3.49
UMa	X54Nu	11.30798759	33.09423881	129.1989664	3.49
CMa	X13Kap	6.83068485	-32.50848752	242.1307506	3.5
Cep	X32Iot	22.82803115	66.20071089	35.37318712	3.5
Gem	X55Del	7.33538592	21.98233941	18.0342651	3.5
Sge	X12Gam	19.97927434	19.49209287	84.03361345	3.51
Peg	X48Mu	22.8333612	24.60168486	35.77817531	3.51
Vel	XPhi	9.94770968	-54.5677973	591.7159763	3.52
Lyr	X10Bet	18.83466497	33.36267788	270.2702703	3.52
Leo	X14Omi	9.68586607	9.89239902	41.45936982	3.52
Eri	X23Del	3.72082113	-9.76519868	9.043226623	3.52
Peg	X26The	22.16994993	6.197789	29.61208173	3.52
Vir	X29Gam	12.69468965	-1.449330134	11.83011948	3.52
Sgr	X37Xi 2	18.96216103	-21.10662433	114.1552511	3.52
Cnc	X17Bet	8.2752634	9.18566295	89.04719501	3.53
Tau	X74Eps	4.47692591	19.18052092	47.52851711	3.53
Hya	XXi	11.55007195	-31.85752405	39.63535474	3.54
Ser	X32Mu	15.82701825	-3.43014112	47.75549188	3.54
Ser	X55Xi	17.62645145	-15.39840835	32.33107016	3.54
Pav	XDel	20.14496114	-66.17932101	6.107616197	3.55
Lup	XIot	14.32339798	-46.05808391	107.8748652	3.55
Lep	X14Zet	5.78259715	-14.82194717	21.51925974	3.55
Eri	X41Ups4	4.29822737	-33.79833145	54.73453749	3.55
Dra	X44Chi	18.35064971	72.73369763	8.057368463	3.55
Sco	XMu 2	16.87226486	-38.01747781	158.4786054	3.56
Eri	XPhi	2.27513896	-51.51211145	47.48338082	3.56
Cet	X8Iot	0.32380084	-8.82382948	88.80994671	3.56
Crt	X12Del	11.3223674	-14.77904358	59.70149254	3.56
Lup	XPhi1	15.36345457	-36.26116729	100.1001001	3.57
UMa	X12Kap	9.06043299	47.15665934	129.7016861	3.57
Boo	X25Rho	14.53051606	30.37114497	45.62043796	3.57
Gem	X77Kap	7.74079682	24.39812929	43.99472063	3.57
Cap	X6Alp2	20.30089401	-12.54485877	33.32222592	3.58
Gem	X54Lam	7.30155744	16.54047526	28.91008962	3.58
Cru	XEps	12.35605869	-60.40136988	69.93006993	3.59
Vir	X5Bet	11.8448017	1.76537705	10.90037061	3.59
Lep	X13Gam	5.74110416	-22.44748663	8.969414297	3.59
Ori	X20Tau	5.29344415	-6.84438616	170.0680272	3.59
And	X51	1.6331951	48.62848641	53.30490405	3.59
Ara	XDel	17.51832693	-60.68360667	57.40528129	3.6
Vel	XPsi	9.51169804	-40.46688763	18.55631843	3.6
Gem	X34The	6.87981668	33.96136985	60.27727547	3.6
Lib	X39Ups	15.61707183	-28.13507099	59.66587112	3.6
Cet	X45The	1.40040311	-8.18275372	35.11235955	3.6
Mus	XDel	13.03771597	-71.54879865	27.84739627	3.61
Pav	XEta	17.76222289	-64.7237345	113.7656428	3.61
Tau	X1Omi	3.413566	9.02906504	64.85084306	3.61
Ari	X41	2.8330526	27.26079044	48.8997555	3.61
Hya	X41Lam	10.17649919	-12.35383921	35.16174402	3.61
Sco	XZet2	16.90975143	-42.36075916	46.14674665	3.62
And	X1Omi	23.03201291	42.32597866	212.3142251	3.62
Tau	X27	3.81936977	24.05352412	116.6861144	3.62
Psc	X99Eta	1.52472051	15.34583101	90.17132552	3.62
Mus	XLam	11.76015759	-66.72884344	39.33910307	3.63
Del	X6Bet	20.62579715	14.59520289	29.8596596	3.64
Ara	XThe	18.11052188	-50.09145462	310.5590062	3.65
UMa	X23	9.52543601	63.06179545	23.14814815	3.65
Ser	X28Bet	15.76978191	15.42192602	46.92632567	3.65
Tau	X54Gam	4.32987052	15.62770031	47.23665564	3.65
Aqr	X55Zet1	22.48050015	-0.02006304	31.7158262	3.65
CrB	X3Bet	15.46384775	29.10549164	34.96503497	3.66
Lib	X40Tau	15.64427343	-29.77768935	136.425648	3.66
Ind	XBet	20.91349433	-58.4540947	184.8428835	3.67
Dra	X11Alp	14.07317389	64.37580873	94.6969697	3.67
Pyx	XAlp	8.72654096	-33.18641133	259.0673575	3.68
Ori	X3Pi 4	4.853435	5.60510146	386.1003861	3.68
Sge	X7Del	19.78979589	18.53425912	137.3626374	3.68
Aqr	X88	23.15743391	-21.17248555	71.63323782	3.68
Eri	XChi	1.93245347	-51.60958673	17.4855744	3.69
Aur	X8Zet	5.04130001	41.07588953	241.5458937	3.69
Cas	X17Zet	0.61618528	53.89693161	183.1501832	3.69
Cap	X40Gam	21.66815062	-16.66225343	42.58943782	3.69
UMa	X63Chi	11.76753725	47.77933701	60.09615385	3.69
Psc	X6Gam	23.28597045	3.28224524	40.12841091	3.7
Eri	X16Tau4	3.32526935	-21.7579421	79.17656374	3.7
Her	X92Xi	17.96273073	29.24792527	41.45936982	3.7
Ori	X8Pi5	4.90419323	2.44067149	411.5226337	3.71
Lep	X16Eta	5.94008841	-14.16803805	15.04438092	3.71
Ser	X37Eps	15.84691422	4.4775798	21.55636991	3.71
Aql	X60Bet	19.92187948	6.40793334	13.70801919	3.71
Oph	X72	18.12250574	9.56365345	25.38071066	3.71
Tau	X17	3.7479232	24.1134484	113.6363636	3.72
Eri	X18Eps	3.549006	-9.45830584	3.218020917	3.72
Aur	X33Del	5.99209731	54.28498197	43.06632214	3.72
Cyg	X62Xi	21.08218216	43.92785122	361.0108303	3.72
Oct	XNu	21.69124253	-77.38946215	21.17746717	3.73
Tau	X2Xi	3.45281136	9.7327724	68.11989101	3.73
Dra	X32Xi	17.8921193	56.87245216	34.17634997	3.73
Aqr	X73Lam	22.87690679	-7.57967878	120.0480192	3.73
Vir	X109	14.77083106	1.8929383	39.44773176	3.73
Her	X20Gam	16.36534546	19.15302185	59.91611744	3.74
Cet	X55Zet	1.85766961	-10.33494526	79.42811755	3.74
Cyg	X65Tau	21.24648517	38.04432043	20.92050209	3.74
Oph	X62Gam	17.79821501	2.70745875	29.05287623	3.75
Dor	XBet	5.5604212	-62.48985585	318.4713376	3.76
Lac	X7Alp	22.52149326	50.28244976	31.38731952	3.76
Cyg	X10Iot2	19.49509425	51.72946747	37.5516335	3.76
Mon	X11Bet	6.48029836	-7.03305042	211.8644068	3.76
Lep	X15Del	5.85532022	-20.87751376	34.42340792	3.76
Sgr	X39Omi	19.07803717	-21.74135451	42.57130694	3.76
Vol	XBet	8.42895729	-66.13652042	33.10162198	3.77
Ara	XEta	16.82975317	-59.04131648	96.06147935	3.77
Del	X9Alp	20.66062626	15.9120527	73.80073801	3.77
Per	X15Eta	2.84494243	55.89552955	408.1632653	3.77
Peg	X24Iot	22.11679848	25.3450461	11.75640724	3.77
Cap	X34Zet	21.44445214	-22.41137838	122.1001221	3.77
Per	X41Nu	3.75323428	42.57854437	170.6484642	3.77
Ori	X48Sig	5.64576814	-2.60006791	352.1126761	3.77
Tau	X61Del1	4.38222981	17.5425843	46.97040864	3.77
Vol	XGam2	7.14578458	-70.49919435	43.44048653	3.78
Aqr	X2Eps	20.79459238	-9.49568988	70.37297678	3.78
UMa	X29Ups	9.84991436	59.03910437	35.27336861	3.78
Boo	X30Zet	14.68581121	13.72833113	55.34034311	3.78
Gem	X60Iot	7.42879891	27.79828561	38.61003861	3.78
Per	X27Kap	3.1582303	44.85788896	34.42340792	3.79
LMi	X46	10.88851107	34.21556641	29.94011976	3.79
For	XAlp	3.20118888	-28.98910623	14.11233418	3.8
Cyg	X1Kap	19.28503052	53.36816064	37.76435045	3.8
Ser	X13Del	15.58005284	10.53885916	64.35006435	3.8
Cyg	X31	20.22719518	46.74132417	414.9377593	3.8
CrB	X8Gam	15.71239951	26.29551419	44.48398577	3.81
And	X16Lam	23.62602991	46.45917621	25.81311306	3.81
Eri	X52Ups2	4.59251991	-30.56231049	64.02048656	3.81
Dra	X1Lam	11.52341346	69.33112161	102.4590164	3.82
Oph	X10Lam	16.51523367	1.98410056	50.94243505	3.82
Lyn	X38	9.31407426	36.80289763	37.38317757	3.82
Her	X85Iot	17.65774789	46.00632216	151.9756839	3.82
Psc	X113Alp	2.03411128	2.76376048	42.64392324	3.82
Aps	XAlp	14.79770171	-79.04471242	126.1034048	3.83
Cen	XPhi	13.97119018	-42.10070526	142.6533524	3.83
Hya	X42Mu	10.43486251	-16.83609584	76.10350076	3.83
Ret	XBet	3.73654302	-64.80709398	30.57169061	3.84
Mus	XGam	12.54114193	-72.1329759	99.30486594	3.84
Sgr	X13Mu	18.2293913	-21.05883031	9090.909091	3.84
Per	X38Omi	3.73864623	32.28827325	452.4886878	3.84
Leo	X47Rho	10.5468542	9.30659431	1754.385965	3.84
Dra	X63Eps	19.8028371	70.26783533	44.64285714	3.84
Tau	X77The1	4.4762312	15.96221721	48.40271055	3.84
Her	X103Omi	18.12570854	28.76247025	106.4962726	3.84
Hor	XAlp	4.23335592	-42.29387294	35.90664273	3.85
Sct	XAlp	18.58678829	-8.24330819	53.41880342	3.85
Pic	XBet	5.7880787	-51.06671329	19.27896665	3.85
Col	XDel	6.36856809	-33.43627251	72.72727273	3.85
Cen	XTau	12.62842439	-48.54128816	40.37141704	3.85
Dra	X5Kap	12.55806736	69.78820992	152.6717557	3.85
Ser	X41Gam	15.94083173	15.66473327	11.12099644	3.85
Her	X109	18.39493521	21.77034249	39.37007874	3.85
TrA	XDel	16.25729615	-63.68564897	190.4761905	3.86
Col	XEps	5.5202043	-35.47043592	84.9617672	3.86
Aps	XGam	16.55762893	-78.89695917	48.92367906	3.86
And	X37Mu	0.94586046	38.49925513	41.78854994	3.86
Aqr	X48Gam	22.36091665	-1.38735315	48.37929366	3.86
Eri	X53	4.63635303	-14.303587	33.51206434	3.86
Her	X91The	17.93754959	37.25052158	205.338809	3.86
Cen	XUps1	13.97799204	-44.8035314	128.0409731	3.87
Sco	X5Rho	15.94807962	-29.21401221	125.4705144	3.87
Tau	X20	3.76377586	24.36785796	110.3752759	3.87
Aql	X55Eta	19.8745455	1.00567827	359.7122302	3.87
Vir	X107Mu	14.71765618	-5.6574291	18.67762421	3.87
