Hip	Const-abbreviations	Const-names	ProperName	B-F-ID	F-ID	B-ID	RA	Dec	Distance	Mag	AbsMag	Spectrum	ColorIndex
53773							11.00256828	-42.22586959	62.53908693	4.37	0.3892423187	A3IV	0.116
29807	Col	Columba		Kap		κ Col	6.27587093	-35.14073157	56.08524958	4.37	0.6257567159	G8II	0.978
98412	Sgr	Sagittarius		The1		θ1 Sgr	19.99560397	-35.27624433	189.3939394	4.37	-2.016830387	B2.5IV	-0.15
154	Psc	Pisces		30	30 Psc		0.03266433	-6.01397169	127.2264631	4.37	-1.15288727	M3III	1.631
35415	CMa	Canis Major		30Tau	30 CMa	τ CMa	7.31180218	-24.95438447	980.3921569	4.37	-5.586999141	O9Ib	-0.132
88886	Her	Hercules		102	102 Her		18.14597017	20.81457203	467.2897196	4.37	-3.977931133	B2IV	-0.164
116231	Scl	Sculptor		Bet		β Scl	23.5494967	-37.81835895	54.70459519	4.38	0.689880957	B9.5IVMNpe.	-0.095
99255	Cep	Cepheus		1Kap	1 Cep	κ Cep	20.14814344	77.71136178	100.3009027	4.38	-0.6265242084	B9III	-0.046
64238	Vir	Virgo		51The	51 Vir	θ Vir	13.16583667	-5.53892987	127.2264631	4.38	-1.14288727	A1V	-0.008
115669	Aqr	Aquarius		99	99 Aqr		23.43411593	-20.64186122	94.60737938	4.38	-0.4996250635	K4III	1.46
17884							3.82535706	65.52600645	295.8579882	4.39	-2.965416499	M1III	1.87
39311							8.0377648	2.33431429	80.06405124	4.39	-0.1271878081	K2III	1.252
8837	Phe	Phoenix		Psi		ψ Phe	1.89411658	-46.30244631	98.52216749	4.39	-0.5776697888	M4III SB	1.597
105319	Ind	Indus		The		θ Ind	21.33107883	-53.44926434	29.77963073	4.39	2.020403459	A5V	0.191
96757	Sge	Sagitta		5Alp	5 Sge	α Sge	19.66827292	18.01393839	145.137881	4.39	-1.418903891	G0II	0.777
96837	Sge	Sagitta		6Bet	6 Sge	β Sge	19.68414825	17.47612356	143.0615165	4.39	-1.387614121	G8II	1.041
30419	Mon	Monoceros		8Eps	8 Mon	ε Mon	6.39613824	4.59283881	39.38558488	4.39	1.413313504	A5IV	0.215
82673	Oph	Ophiuchus		25Iot	25 Oph	ι Oph	16.90013982	10.16544339	71.68458781	4.39	0.112871038	B8V	-0.088
49637	Leo	Leo		31	31 Leo		10.13175523	9.99766389	84.10428932	4.39	-0.2340907269	K4III	1.448
26176	Ori	Orion		37Phi1	37 Ori	φ1 Ori	5.58034384	9.48958528	302.1148036	4.39	-3.010860031	B0IV...	-0.157
84893	Oph	Ophiuchus		40Xi	40 Oph	ξ Oph	17.35005841	-21.11243499	17.3973556	4.39	3.187583797	F2/F3V	0.394
27913	Ori	Orion		54Chi1	54 Ori	χ1 Ori	5.9064122	20.27641498	8.663259118	4.39	4.701593478	G0V	0.594
73620	Vir	Virgo		110	110 Vir		15.04835277	2.09127129	56.24296963	4.39	0.6396587832	K0III	1.026
108431	Ind	Indus		Del		δ Ind	21.96528638	-54.9925666	56.6572238	4.4	0.6337235486	F0IV	0.297
93015	Pav	Pavo		Kap		κ Pav	18.94917796	-67.23353511	166.6666667	4.4	-1.709243748	F5Ib-II:	0.53
38070	Pup	Puppis		Omi		ο Pup	7.80143747	-25.93718054	757.5757576	4.4	-4.997130344	B1IV:nne	-0.07
39906	Pup	Puppis		16	16 Pup		8.15045651	-19.24500094	144.9275362	4.4	-1.405754546	B5V	-0.16
4463	And	Andromeda		38Eta	38 And	η And	0.95345215	23.41775997	74.4047619	4.4	0.0419963436	G8III-IV	0.94
32761							6.83092114	-53.62249221	169.4915254	4.41	-1.735739942	G6II	0.899
70300							14.38396035	-39.51176599	128.3697047	4.41	-1.132312712	B2V	-0.185
115102	Scl	Sculptor		Gam		γ Scl	23.31372966	-32.53183574	54.8245614	4.41	0.71512417	K1III	1.109
114222	Cep	Cepheus		33Pi	33 Cep	π Cep	23.13162169	75.3875815	67.43088334	4.41	0.2657057551	G2III	0.802
34693	Gem	Gemini		46Tau	46 Gem	τ Gem	7.18566433	30.24528065	92.50693802	4.41	-0.4208715302	K2III	1.261
105138	Cyg	Cygnus		66Ups	66 Cyg	υ Cyg	21.29862997	34.8968812	276.2430939	4.41	-2.796457147	B2Vne	-0.103
85693	Her	Hercules		76Lam	76 Her	λ Her	17.512305	26.1106045	112.6126126	4.41	-0.8479351711	K3IIIvar	1.434
115033	Aqr	Aquarius		93Psi2	93 Aqr	ψ2 Aqr	23.29838989	-9.1824899	98.71668312	4.41	-0.5619527732	B5Vn	-0.144
87998	Her	Hercules		94Nu	94 Her	ν Her	17.97504159	30.18926892	243.902439	4.41	-2.526080716	F2II	0.38
34922							7.22561969	-44.64052957	60.75334143	4.42	0.5021491544	M5e	1.331
40326							8.23413531	-40.34773028	95.23809524	4.42	-0.4740535047	K1II/III	1.17
110538	Lac	Lacerta		3Bet	3 Lac	β Lac	22.39267678	52.22949951	52.05622072	4.42	0.8376368243	G9III	1.015
31700	CMa	Canis Major		8Nu 3	8 CMa	ν3 CMa	6.6315072	-18.23745713	142.2475107	4.42	-1.345223375	K0II/III	1.137
34981	CMa	Canis Major		27	27 CMa		7.23756011	-26.35251617	483.0917874	4.42	-4.000148273	B3III	-0.17
77257	Ser	Serpens		27Lam	27 Ser	λ Ser	15.77409608	7.35323973	11.75364363	4.42	4.069137406	G0Vvar	0.604
72571	Hya	Hydra		58	58 Hya		14.83818519	-27.96021925	93.6329588	4.42	-0.4371437365	K3III	1.366
53954	Leo	Leo		60	60 Leo		11.0388281	20.17974575	37.92188093	4.42	1.525550649	A1m	0.053
29038	Ori	Orion		67Nu	67 Ori	ν Ori	6.12620051	14.76852318	163.9344262	4.42	-1.653350825	B3IV	-0.164
88290	Oph	Ophiuchus		68	68 Oph		18.02921931	1.30510936	81.23476848	4.42	-0.1287097353	A2Vn	0.046
115623	Peg	Pegasus		68Ups	68 Peg	υ Peg	23.4229615	23.40401243	53.10674456	4.42	0.7942516001	F8IV	0.617
102624	Aqr	Aquarius		3	3 Aqr		20.79562164	-5.02760303	136.425648	4.43	-1.244480127	M3IIIvar	1.639
23040	Cam	Camelopardalis		7	7 Cam		4.95478345	53.75208289	115.2073733	4.43	-0.8774013741	A1V	-0.017
102281	Del	Delphinus		11Del	11 Del	δ Del	20.72431825	15.07468224	62.38303182	4.43	0.4546676118	A7IIIp d Del	0.302
94481	Lyr	Lyra		20Eta	20 Lyr	η Lyr	19.22930243	39.14596968	319.4888179	4.43	-3.092278312	B2.5IV	-0.15
17593	Eri	Eridanus		26Pi	26 Eri	π Eri	3.76902844	-12.1017353	152.4390244	4.43	-1.485480803	M1III	1.604
100587	Cyg	Cygnus		39	39 Cyg		20.39766555	32.19018607	78.30853563	4.43	-0.0390455137	K3III	1.331
19849	Eri	Eridanus		40Omi2	40 Eri	ο2 Eri	4.25489948	-7.64455846	5.044390638	4.43	5.915956445	K1V	0.82
98688	Sgr	Sagittarius		62	62 Sgr		20.04429424	-27.70987972	137.3626374	4.43	-1.259343103	M4III	1.64
36795							7.5675572	-22.29618077	25.7003341	4.44	2.390306154	F6V	0.521
40091							8.18930562	-39.61855304	574.7126437	4.44	-4.357253759	K4III	1.59
40706							8.30927588	-36.65953286	28.5225328	4.44	2.164059559	A4m...	0.222
21770	Cae	Caelum		Alp		α Cae	4.67606197	-41.86357034	20.13287699	4.44	2.9204708	F2V	0.342
19921	Ret	Reticulum		Eps		ε Ret	4.27474542	-59.30174841	18.23486506	4.44	3.135487231	K2IV	1.078
71121	Lup	Lupus		Sig		σ Lup	14.54363429	-50.45712132	176.056338	4.44	-1.788258321	B2III	-0.177
30060	Lyn	Lynx		2	2 Lyn		6.32705299	59.01090518	45.70383912	4.44	1.140236588	A2Vs	0.032
95771	Vul	Vulpecula		6Alp	6 Vul	α Vul	19.4784475	24.66516482	90.90909091	4.44	-0.3530365742	M0 comp	1.502
1170	Cet	Cetus		7	7 Cet		0.24400908	-18.93268628	151.0574018	4.44	-1.455710053	M1III	1.64
3786	Psc	Pisces		63Del	63 Psc	δ Psc	0.81135982	7.58520186	93.5453695	4.44	-0.415111474	K5III	1.5
44191							9.00151114	-41.25373789	61.76652254	4.45	0.4962342438	Fp	0.646
51849							10.59314294	-57.55763551	421.9409283	4.45	-3.67625827	K3/K4II	1.604
13147	For	Fornax		Bet		β For	2.8181554	-32.40628403	51.78663905	4.45	0.8789113689	G8III	0.981
52633	Cha	Chamaeleon		Del2		δ2 Cha	10.76309326	-80.54020283	111.4827202	4.45	-0.7860377848	B2.5IV	-0.188
24244	Lep	Lepus		3Iot	3 Lep	ι Lep	5.20496871	-11.86914287	73.90983001	4.45	0.106488983	B8V	-0.099
42402	Hya	Hydra		5Sig	5 Hya	σ Hya	8.64595799	3.34147477	108.1081081	4.45	-0.7192913363	K2III	1.216
80975	Oph	Ophiuchus		9Ome	9 Oph	ω Oph	16.53560738	-21.46647783	53.59056806	4.45	0.8045581971	Ap	0.13
96229	Aql	Aquila		38Mu	38 Aql	μ Aql	19.56811881	7.37931918	33.89830508	4.45	1.79911008	K3III	1.176
94648	Dra	Draco		60Tau	60 Dra	τ Dra	19.25924825	73.35521457	46.01932812	4.45	1.135298632	K3III	1.257
29426	Ori	Orion		70Xi	70 Ori	ξ Ori	6.1989991	14.20881425	194.5525292	4.45	-1.995184405	B3IV	-0.18
55084	Leo	Leo		74Phi	74 Leo	φ Leo	11.27771224	-3.65151412	59.91611744	4.45	0.5622816834	A7IVn	0.21
7884	Psc	Pisces		106Nu	106 Psc	ν Psc	1.69052987	5.48760445	112.8668172	4.45	-0.8128313906	K3III	1.347
59173							12.13479341	-50.66125439	115.2073733	4.46	-0.8474013741	B2IIIne	-0.163
80582	Nor	Norma		Eps		ε Nor	16.45306883	-47.5547359	122.5490196	4.46	-0.9815492062	B4V	-0.07
11569	Cas	Cassiopeia		Iot		ι Cas	2.48444116	67.40238385	43.40277778	4.46	1.272412374	A5p Sr	0.153
54682	Crt	Crater		11Bet	11 Crt	β Crt	11.19430174	-22.82560642	81.56606852	4.46	-0.0975476491	A1V	0.025
44901	UMa	Ursa Major		15	15 UMa		9.1478849	51.60472728	29.30832356	4.46	2.125045113	Am	0.288
24331	Ori	Orion		17Rho	17 Ori	ρ Ori	5.22152211	2.86125346	105.374078	4.46	-0.6536689379	K3III...	1.166
112948	PsA	Piscis Austrinus		22Gam	22 PsA	γ PsA	22.87543275	-32.87545019	68.16632584	4.46	0.2921505692	A0III	-0.037
18255	Eri	Eridanus		32	32 Eri		3.90485739	-2.95473348	105.7082452	4.46	-0.660544318	G8III	0.672
15549							3.33899063	29.04849835	196.4636542	4.47	-1.996411088	K2II-III	1.555
38957							7.97067886	-49.24492865	357.1428571	4.47	-3.294209843	B1Vp + B2	-0.18
44599							9.08578619	-72.60269387	139.275766	4.47	-1.249377779	F6II-III	0.607
57803							11.852431	-45.1734495	142.2475107	4.47	-1.295223375	K4III	1.283
30788	CMa	Canis Major		Lam		λ CMa	6.46950484	-32.58012947	124.5330012	4.47	-1.006422274	B4V	-0.169
109111	Gru	Grus		Lam		λ Gru	22.10191767	-39.54304903	75.75757576	4.47	0.072869656	M0III	1.349
46146	Leo	Leo		1Kap	1 Leo	κ Leo	9.41091093	26.18244091	65.44502618	4.47	0.3906167712	K2III	1.222
12843	Eri	Eridanus		1Tau1	1 Eri	τ1 Eri	2.75166151	-18.57265077	13.97428731	4.47	3.74335166	F5/F6V	0.481
104858	Equ	Equuleus		7Del	7 Equ	δ Equ	21.24133058	10.00771855	18.4808723	4.47	3.13638767	F5V+...	0.529
23123	Ori	Orion		10Pi6	10 Ori	π6 Ori	4.97580635	1.71403506	292.3976608	4.47	-2.85986947	K2IIvar	1.369
31216	Mon	Monoceros		13	13 Mon		6.5483971	7.33297921	462.962963	4.47	-3.857731244	A0Ib	0.023
73165	Lib	Libra		16	16 Lib		14.95307133	-4.34608634	27.90957298	4.47	2.241234041	F0V	0.318
47006	UMa	Ursa Major		26	26 UMa		9.58041525	52.05156754	81.9000819	4.47	-0.0964216803	A2V	0.027
71284	Boo	Boötes		28Sig	28 Boo	σ Boo	14.57796958	29.74480735	15.46551191	4.47	3.523178501	F3Vwvar	0.364
75323	Cir	Circinus		Gam		γ Cir	15.38962715	-59.32069839	156.25	4.48	-1.48910013	B5III + F8	0.169
18744	Ret	Reticulum		Gam		γ Ret	4.01494584	-62.15936923	150.3759398	4.48	-1.405891774	M4III	1.5
113889	Psc	Pisces		4Bet	4 Psc	β Psc	23.06461292	3.82006998	151.0574018	4.48	-1.415710053	B6Ve	-0.115
80343	Oph	Ophiuchus		4Psi	4 Oph	ψ Oph	16.40172146	-20.03721137	54.58515284	4.48	0.7946273467	K0III	0.996
49641	Sex	Sextans		15Alp	15 Sex	α Sex	10.13230432	-0.37162786	88.10572687	4.48	-0.2450206924	A0III	-0.032
32578	Mon	Monoceros		18	18 Mon		6.79768245	2.41218914	114.416476	4.48	-0.8124428368	K0III	1.099
3504	Cas	Cassiopeia		22Omi	22 Cas	ο Cas	0.74541725	48.28438262	277.7777778	4.48	-2.738487496	B5III	-0.069
20713	Tau	Taurus		71	71 Tau		4.43907547	15.6183462	47.93863854	4.48	1.076571521	F0V...	0.262
114119	Aqr	Aquarius		86	86 Aqr		23.11133535	-23.7431168	57.73672055	4.48	0.6727394384	G8III	0.892
34834							7.20937248	-46.75956448	21.17746717	4.49	2.860629914	F0IV	0.324
38455							7.87740369	-38.86282206	196.4636542	4.49	-1.976411088	B2V	-0.188
118322	Tuc	Tucana		Eps		ε Tuc	23.99858613	-65.57707774	114.8105626	4.49	-0.809909225	B9IV	-0.075
96441	Cyg	Cygnus		13The	13 Cyg	θ Cyg	19.60737289	50.22046347	18.59427296	4.49	3.143103989	F4V	0.395
116928	Psc	Pisces		18Lam	18 Psc	λ Psc	23.70080049	1.7804172	30.88326127	4.49	2.041384222	A7V	0.2
49593	LMi	Leo Minor		21	21 LMi		10.12381254	35.24469176	27.94857462	4.49	2.258201681	A7V	0.19
104234	Cap	Capricornus		24	24 Cap		21.11880151	-25.00574796	160.2564103	4.49	-1.534077052	K5/M0III	1.604
71762	Boo	Boötes		29Pi 1	29 Boo	π1 Boo	14.67876693	16.4183013	97.27626459	4.49	-0.4500344267	B9p MnHg	-0.002
32249	Gem	Gemini		30	30 Gem		6.73313723	13.22814319	84.60236887	4.49	-0.1469126173	K1III	1.167
9480	Cas	Cassiopeia		48	48 Cas		2.03265271	70.90704605	35.82945181	4.49	1.718799182	A3IV	0.164
21248	Eri	Eridanus		50Ups1	50 Eri	υ1 Eri	4.55850819	-29.76583186	38.13882532	4.49	1.583163437	K0III	0.972
107310	Cyg	Cygnus		78Mu1	78 Cyg	μ1 Cyg	21.73566791	28.74322228	22.40143369	4.49	2.73862093	F6V	0.512
116971	Aqr	Aquarius		105Ome2	105 Aqr	ω2 Aqr	23.71202357	-14.54474243	47.25897921	4.49	1.117578317	B9V	-0.032
43105							8.77848866	-56.76979718	167.5041876	4.5	-1.620128344	B3Vne	-0.169
50676							10.34855972	-56.04322401	427.3504274	4.5	-3.653920713	B3III	-0.102
109754							22.23130596	39.71488928	172.7115717	4.5	-1.686607181	K3III	1.385
27530	Pic	Pictor		Gam		γ Pic	5.83043799	-56.1664886	53.24813632	4.5	0.8684779397	K1III	1.075
67275	Boo	Boötes		4Tau	4 Boo	τ Boo	13.78778795	17.45677436	15.59575795	4.5	3.534967568	F7V	0.508
111944	Lac	Lacerta		11	11 Lac		22.67521732	44.27628068	92.50693802	4.5	-0.3308715302	K3III	1.318
104459	Aqr	Aquarius		13Nu	13 Aqr	ν Aqr	21.15988689	-11.37165474	50.17561465	4.5	0.9975364935	G8III	0.926
109285	PsA	Piscis Austrinus		14Mu	14 PsA	μ PsA	22.13970922	-32.98839827	39.9840064	4.5	1.490568459	A2V	0.054
99874	Vul	Vulpecula		23	23 Vul		20.2628215	27.8142285	100.6036217	4.5	-0.513068078	K3III	1.258
106039	Cap	Capricornus		36	36 Cap		21.47869889	-21.80716659	55.00550055	4.5	0.7979693944	K0III	0.889
26594	Ori	Orion		47Ome	47 Ori	ω Ori	5.65309608	4.12146667	497.5124378	4.5	-3.984019713	B3IIIe	-0.098
57565	Leo	Leo		93	93 Leo		11.7997851	20.21894121	69.44444444	4.5	0.2918124605	A comp SB	0.547
47391							9.6558447	-61.32810523	68.63417982	4.51	0.3272977588	B9V	-0.07
110838	Tuc	Tucana		Del		δ Tuc	22.4555203	-64.96637927	81.9000819	4.51	-0.0564216803	B8V	-0.029
46515	Ant	Antlia		Eps		ε Ant	9.48742707	-35.9513478	214.5922747	4.51	-2.148070417	K3III	1.408
102333	Ind	Indus		Eta		η Ind	20.73394074	-51.92084051	24.1662639	4.51	2.593952432	A6:var	0.278
117863	Cas	Cassiopeia		7Rho	7 Cas	ρ Cas	23.90639925	57.49939052	3571.428571	4.51	-8.254209843	F8Iavar	1.19
76852	Ser	Serpens		21Iot	21 Ser	ι Ser	15.69252564	19.67050566	58.92751915	4.51	0.6584092116	A1V	0.062
1473	And	Andromeda		25Sig	25 And	σ And	0.3054737	36.7853273	43.27131112	4.51	1.328999727	A2V	0.054
27483	Aur	Auriga		29Tau	29 Aur	τ Aur	5.81957208	39.18113322	65.18904824	4.51	0.4391267981	G8III	0.949
106723	Cap	Capricornus		39Eps	39 Cap	ε Cap	21.61800632	-19.46601352	203.2520325	4.51	-2.030174486	B3V:p	-0.18
98702	Dra	Draco		67Rho	67 Dra	ρ Dra	20.04695756	67.87344872	124.6882793	4.51	-0.9691281586	K3III	1.313
5586	Psc	Pisces		83Tau	83 Psc	τ Psc	1.19432964	30.08972962	49.72650423	4.51	1.027060353	K0III-IV...	1.092
65271							13.37721659	-60.98835608	108.6956522	4.52	-0.6610608633	B3V	-0.141
65387							13.40012315	-64.53561699	78.80220646	4.52	0.0373081105	G5III-IV	0.822
102431							20.75588795	57.58029799	27.12232167	4.52	2.353365688	F8IV-V	0.535
89112	Tel	Telescopium		Eps		ε Tel	18.18716006	-45.95432704	125.3132832	4.52	-0.9699855432	G5III	1.009
106140	Peg	Pegasus		2	2 Peg		21.49913323	23.63882922	135.6852103	4.52	-1.142662561	M1III	1.618
111104	Lac	Lacerta		6	6 Lac		22.50812822	43.12338985	420.1680672	4.52	-3.597115215	B2IV	-0.086
13061	Ari	Aries		39	39 Ari		2.79845596	29.24742385	55.3709856	4.52	0.8035887299	K1III	1.112
73745	Boo	Boötes		43Psi	43 Boo	ψ Boo	15.07412697	26.94765981	76.68711656	4.52	0.096387957	K2III	1.24
95176	Sgr	Sagittarius		46Ups	46 Sgr	υ Sgr	19.36211722	-15.95500233	512.8205128	4.52	-4.029826943	F2p	0.079
69974	Vir	Virgo		100Lam	100 Vir	λ Vir	14.31850051	-13.37116634	57.24098454	4.52	0.7314645249	A1V	0.128
28413							6.00092927	-3.07407681	128.7001287	4.53	-1.017894906	K2IIIvar	1.202
37096							7.6228111	-34.96857044	109.8901099	4.53	-0.6747930384	B8IV/V	-0.081
85365							17.44387084	-5.08649188	30.04807692	4.53	2.140916588	F3V	0.385
2487	Tuc	Tucana		Bet2		β2 Tuc	0.525932	-62.96544985	52.77044855	4.53	0.9180460715	A2V	0.147
87072	Sgr	Sagittarius		3	3 Sgr		17.79267418	-27.83076255	330.0330033	4.53	-3.062786858	F7II	0.6
114570	And	Andromeda		7	7 And		23.20914525	49.40597489	24.4977952	4.53	2.584365002	F0V	0.302
69483	Boo	Boötes		17Kap2	17 Boo	κ2 Boo	14.2247083	51.78999066	47.55111745	4.53	1.144196363	A8IV	0.233
3881	And	Andromeda		35Nu	35 And	ν And	0.83023048	41.07895474	208.3333333	4.53	-2.063793813	B5V SB	-0.136
102589	Cyg	Cygnus		54Lam	54 Cyg	λ Cyg	20.79014637	36.49073658	269.541779	4.53	-2.623130452	B6IV	-0.083
75304	Lup	Lupus		Phi2		φ2 Lup	15.38593424	-36.85843627	185.8736059	4.54	-1.806088622	B4V	-0.155
31416	CMa	Canis Major		5Xi 2	5 CMa	ξ2 CMa	6.5842722	-22.96483318	126.2626263	4.54	-0.9663740921	A0III	-0.035
46952	LMi	Leo Minor		10	10 LMi		9.57038249	36.39761338	53.99568035	4.54	0.8782049117	G8III	0.914
24727	Aur	Auriga		16	16 Aur		5.30293003	33.37200411	71.83908046	4.54	0.2581961764	K3III...	1.252
46977	UMa	Ursa Major		24	24 UMa		9.57471329	69.83015419	32.37293623	4.54	1.989089542	G4III-IV	0.781
74392	Lib	Libra		24Iot1	24 Lib	ι1 Lib	15.20369782	-19.79163143	115.4734411	4.54	-0.7724105399	Asp...	-0.071
46776	Hya	Hydra		32Tau2	32 Hya	τ2 Hya	9.53303743	-1.18465438	140.6469761	4.54	-1.200651996	A3V	0.109
72659	Boo	Boötes		37Xi	37 Boo	ξ Boo	14.85646783	19.10063329	6.699718612	4.54	5.409717186	G8V + K4V	0.72
114144	Peg	Pegasus		55	55 Peg		23.11673773	9.40952259	98.71668312	4.54	-0.4319527732	M2III	1.559
98162	Sgr	Sagittarius		59	59 Sgr		19.94911802	-27.1698625	370.3703704	4.54	-3.303181179	K3III	1.462
115919	Peg	Pegasus		70	70 Peg		23.48590563	12.76049243	54.52562704	4.54	0.8569966567	G8III	0.939
16281							3.49854055	58.87875244	757.5757576	4.55	-4.847130344	A0Ia SB:	0.489
33694							7.00106888	76.97744152	57.37234653	4.55	0.7564869355	K4III	1.365
76371							15.59812916	-44.95833688	133.1557923	4.55	-1.071800315	B3IVp	-0.175
88839							18.13471194	-28.45701627	106.6098081	4.55	-0.5889858081	K0IIICNpvar	0.938
23595	Cae	Caelum		Gam1		γ1 Cae	5.07341993	-35.48287057	56.72149745	4.55	0.7812615615	K2III	1.177
301	Cet	Cetus		2	2 Cet		0.06232565	-17.33597002	69.88120196	4.55	0.3281981688	B9IVn	-0.047
110351	Lac	Lacerta		2	2 Lac		22.35042452	46.53656484	156.25	4.55	-1.41910013	B6V	-0.1
110609	Lac	Lacerta		4	4 Lac		22.40860992	49.47640074	649.3506494	4.55	-4.512396396	B9Iab	0.092
36425	CMi	Canis Minor		6	6 CMi		7.49660613	12.00661101	171.8213058	4.55	-1.625385077	K2III	1.276
107119	Cep	Cepheus		11	11 Cep		21.69863224	71.31118695	53.9083558	4.55	0.8917195698	K0III	1.108
80079	Sco	Scorpius		19Omi	19 Sco	ο Sco	16.34393983	-24.16928427	361.0108303	4.55	-3.237601155	A4II/III	0.758
48402	UMa	Ursa Major		30Phi	30 UMa	φ UMa	9.86843337	54.06428574	133.8688086	4.55	-1.083396991	A3IV	0.038
44700							9.10883001	38.45225024	207.9002079	4.56	-2.029274618	G8Ib-II	1.037
18597	Ret	Reticulum		Del		δ Ret	3.97909374	-61.40015059	162.601626	4.56	-1.495624421	M2III	1.59
70574	Lup	Lupus		Tau1		τ1 Lup	14.43562084	-45.22138996	317.4603175	4.56	-2.948447231	B2IV	-0.147
86092	Ara	Ara		1Sig	1 Ara	σ Ara	17.59433647	-46.50559076	118.2033097	4.56	-0.8031481848	A0V	-0.02
13328	Per	Perseus		17	17 Per		2.85856414	35.05989415	125.4705144	4.56	-0.932708393	K5III	1.554
103004	Vul	Vulpecula		31	31 Vul		20.86881265	27.09712771	66.40106242	4.56	0.4491248593	G8III	0.835
104194	Cyg	Cygnus		63	63 Cyg		21.11002448	47.64840597	301.2048193	4.56	-2.834309582	K4II	1.569
54951	Leo	Leo		72	72 Leo		11.25340086	23.09552528	2040.816327	4.56	-6.9890196	M3III	1.657
27830	Tau	Taurus		136	136 Tau		5.88878987	27.61228536	134.2281879	4.56	-1.079218636	A0V	-0.008
16870							3.61824392	-40.27451075	67.20430108	4.57	0.433014656	K0III	1.023
94005	CrA	Corona Austrina		Del		δ CrA	19.13914805	-40.4966376	53.56186395	4.57	0.9257215897	K1III	1.07
80473	Oph	Ophiuchus		5Rho	5 Oph	ρ Oph	16.42642254	-23.44711764	120.9189843	4.57	-0.8424724522	B2V	0.227
97886	Vul	Vulpecula		13	13 Vul		19.89102245	24.07952568	110.1321586	4.57	-0.6395707574	B9.5III	-0.047
80463	Her	Hercules		24Ome	24 Her	ω Her	16.42359154	14.03341514	72.09805335	4.57	0.2803823054	B9p Cr	0.002
86614	Dra	Draco		31Psi1	31 Dra	ψ1 Dra	17.69897418	72.14949916	22.03613927	4.57	2.854322458	F5IV-V	0.434
92818	Her	Hercules		113	113 Her		18.91246698	22.64507357	149.0312966	4.57	-1.296387399	G4III+...	0.782
48374							9.86130232	-46.54764424	332.2259136	4.58	-3.027167522	G5Ib	1.172
52468							10.72564102	-60.56662705	326.7973856	4.58	-2.991392868	K3Ib	1.7
64425							13.20489702	-59.92053651	106.1571125	4.58	-0.549745486	B8V	-0.073
67627	Dra	Draco		10	10 Dra		13.85720488	64.72328281	120.0480192	4.58	-0.816774993	M3III	1.572
79404	Sco	Scorpius		13	13 Sco		16.20505881	-27.92631564	143.472023	4.58	-1.20383611	B2V	-0.172
26237	Ori	Orion		42	42 Ori		5.58976712	-4.83834045	240.9638554	4.58	-2.329759516	B2III...	-0.183
86284	Oph	Ophiuchus		57Mu	57 Oph	μ Oph	17.63075549	-8.11872126	168.3501684	4.58	-1.551067775	B8II-IIIMNp	0.132
115250	Peg	Pegasus		62Tau	62 Peg	τ Peg	23.34395088	23.7403592	51.28205128	4.58	1.030173057	A5V	0.18
17351							3.71392279	-37.31334485	54.52562704	4.59	0.9069966567	K2IIICN...	1.191
50555							10.32687922	-55.02931452	456.6210046	4.59	-3.707779426	K3II	1.6
54751							11.21000563	-60.3176307	3846.153846	4.59	-8.33513326	A6Ia	0.541
117452	Scl	Sculptor		Del		δ Scl	23.81541108	-28.1300148	43.99472063	4.59	1.372997179	A0V	0.001
17959	Cam	Camelopardalis		Gam		γ Cam	3.83929883	71.33236777	102.7749229	4.59	-0.4694357987	A2IVn	0.064
3245	Phe	Phoenix		Mu		μ Phe	0.68877111	-46.08500934	75.81501137	4.59	0.1912239777	G8III	0.953
77840	Sco	Scorpius		2	2 Sco		15.89353566	-25.32708018	132.9787234	4.59	-1.028910797	B2.5Vn	-0.073
42527	UMa	Ursa Major		4Pi 2	4 UMa	π2 UMa	8.67024961	64.32787175	77.39938081	4.59	0.1463125683	K2III	1.179
91926	Lyr	Lyra		5Eps2	5 Lyr	ε2 Lyr	18.73965995	39.61259557	49.16420846	4.59	1.131754743	A8Vn	0.18
77512	CrB	Corona Borealis		10Del	10 CrB	δ CrB	15.82658278	26.06854936	50.73566717	4.59	1.063433121	G5III-IV	0.794
25473	Ori	Orion		30Psi2	30 Ori	ψ2 Ori	5.4472856	3.09567718	434.7826087	4.59	-3.60136082	B2IV	-0.199
46509	Hya	Hydra		31Tau1	31 Hya	τ1 Hya	9.48578854	-2.76895627	17.0998632	4.59	3.42503682	F6V	0.411
96465	Sgr	Sagittarius		52	52 Sgr		19.61177473	-24.88356664	58.00464037	4.59	0.7726863074	B8/B9V	-0.075
20070							4.30404874	50.29563944	97.56097561	4.6	-0.346380673	A2V	0.043
75501							15.42229234	-38.7335881	114.6788991	4.6	-0.6974175753	A0V	0
53502	Ant	Antlia		Iot		ι Ant	10.94527675	-37.1374629	60.97560976	4.6	0.6742192402	K0III	1.006
77760	Her	Hercules		1Chi	1 Her	χ Her	15.87783178	42.44998796	15.85288523	4.6	3.599458423	F9V	0.563
72125	Boo	Boötes		35Omi	35 Boo	ο Boo	14.754027	16.96440296	69.06077348	4.6	0.4038428093	K0III	0.972
49402	Hya	Hydra		40Ups2	40 Hya	υ2 Hya	10.08541457	-13.06467435	84.9617672	4.6	-0.0461176858	B8V	-0.087
95081	Dra	Draco		58Pi	58 Dra	π Dra	19.34446443	65.7144303	68.87052342	4.6	0.4098330818	A2IIIs	0.033
